,Location,Date,Hour,Measurement
582,siwak,2019-04-08,2,
583,siwak,2019-04-08,6,6.95
584,siwak,2019-04-08,10,
585,siwak,2019-04-08,14,
586,siwak,2019-04-08,18,
587,siwak,2019-04-08,22,
588,siwak,2019-04-09,2,
589,siwak,2019-04-09,6,6.8
590,siwak,2019-04-09,10,
591,siwak,2019-04-09,14,
592,siwak,2019-04-09,18,
593,siwak,2019-04-09,22,
594,siwak,2019-04-10,2,
595,siwak,2019-04-10,6,6.4
596,siwak,2019-04-10,10,
597,siwak,2019-04-10,14,
598,siwak,2019-04-10,18,
599,siwak,2019-04-10,22,
600,siwak,2019-04-11,2,
601,siwak,2019-04-11,6,6.4
602,siwak,2019-04-11,10,
603,siwak,2019-04-11,14,
604,siwak,2019-04-11,18,
605,siwak,2019-04-11,22,
606,siwak,2019-04-12,2,
607,siwak,2019-04-12,6,4.9
608,siwak,2019-04-12,10,
609,siwak,2019-04-12,14,
610,siwak,2019-04-12,18,
611,siwak,2019-04-12,22,
612,siwak,2019-04-13,2,
613,siwak,2019-04-13,6,5.2
614,siwak,2019-04-13,10,
615,siwak,2019-04-13,14,
616,siwak,2019-04-13,18,
617,siwak,2019-04-13,22,
618,siwak,2019-04-14,2,
619,siwak,2019-04-14,6,5.2
620,siwak,2019-04-14,10,
621,siwak,2019-04-14,14,
622,siwak,2019-04-14,18,
623,siwak,2019-04-14,22,
624,siwak,2019-04-15,2,
625,siwak,2019-04-15,6,5.6
626,siwak,2019-04-15,10,
627,siwak,2019-04-15,14,
628,siwak,2019-04-15,18,
629,siwak,2019-04-15,22,
630,siwak,2019-04-16,2,
631,siwak,2019-04-16,6,6.2
632,siwak,2019-04-16,10,
633,siwak,2019-04-16,14,
634,siwak,2019-04-16,18,
635,siwak,2019-04-16,22,
636,siwak,2019-04-17,2,
637,siwak,2019-04-17,6,7.1
638,siwak,2019-04-17,10,
639,siwak,2019-04-17,14,
640,siwak,2019-04-17,18,
641,siwak,2019-04-17,22,
642,siwak,2019-04-18,2,
643,siwak,2019-04-18,6,7.3
644,siwak,2019-04-18,10,
645,siwak,2019-04-18,14,
646,siwak,2019-04-18,18,
647,siwak,2019-04-18,22,
648,siwak,2019-04-19,2,
649,siwak,2019-04-19,6,7.8
650,siwak,2019-04-19,10,
651,siwak,2019-04-19,14,
652,siwak,2019-04-19,18,
653,siwak,2019-04-19,22,
654,siwak,2019-04-20,2,
655,siwak,2019-04-20,6,7.3
656,siwak,2019-04-20,10,
657,siwak,2019-04-20,14,
658,siwak,2019-04-20,18,
659,siwak,2019-04-20,22,
660,siwak,2019-04-21,2,
661,siwak,2019-04-21,6,7.0
662,siwak,2019-04-21,10,
663,siwak,2019-04-21,14,
664,siwak,2019-04-21,18,
665,siwak,2019-04-21,22,
666,siwak,2019-04-22,2,
667,siwak,2019-04-22,6,6.8
668,siwak,2019-04-22,10,
669,siwak,2019-04-22,14,
670,siwak,2019-04-22,18,
671,siwak,2019-04-22,22,
672,siwak,2019-04-23,2,
673,siwak,2019-04-23,6,6.7
674,siwak,2019-04-23,10,
675,siwak,2019-04-23,14,
676,siwak,2019-04-23,18,
677,siwak,2019-04-23,22,
678,siwak,2019-04-24,2,
679,siwak,2019-04-24,6,6.5
680,siwak,2019-04-24,10,
681,siwak,2019-04-24,14,
682,siwak,2019-04-24,18,
683,siwak,2019-04-24,22,
684,siwak,2019-04-25,2,
685,siwak,2019-04-25,6,5.5
686,siwak,2019-04-25,10,
687,siwak,2019-04-25,14,
688,siwak,2019-04-25,18,
689,siwak,2019-04-25,22,
690,siwak,2019-04-26,2,
691,siwak,2019-04-26,6,4.4
692,siwak,2019-04-26,10,
693,siwak,2019-04-26,14,
694,siwak,2019-04-26,18,
695,siwak,2019-04-26,22,
696,siwak,2019-04-27,2,
697,siwak,2019-04-27,6,3.9
698,siwak,2019-04-27,10,
699,siwak,2019-04-27,14,
700,siwak,2019-04-27,18,
701,siwak,2019-04-27,22,
702,siwak,2019-04-28,2,
703,siwak,2019-04-28,6,4.2
704,siwak,2019-04-28,10,
705,siwak,2019-04-28,14,
706,siwak,2019-04-28,18,
707,siwak,2019-04-28,22,
708,siwak,2019-04-29,2,
709,siwak,2019-04-29,6,4.9
710,siwak,2019-04-29,10,
711,siwak,2019-04-29,14,
712,siwak,2019-04-29,18,
713,siwak,2019-04-29,22,
714,siwak,2019-04-30,2,
715,siwak,2019-04-30,6,6.7
716,siwak,2019-04-30,10,
717,siwak,2019-04-30,14,
718,siwak,2019-04-30,18,
719,siwak,2019-04-30,22,
720,siwak,2019-05-01,2,
721,siwak,2019-05-01,6,6.7
722,siwak,2019-05-01,10,
723,siwak,2019-05-01,14,
724,siwak,2019-05-01,18,
725,siwak,2019-05-01,22,
726,siwak,2019-05-02,2,
727,siwak,2019-05-02,6,7.1
728,siwak,2019-05-02,10,
729,siwak,2019-05-02,14,
730,siwak,2019-05-02,18,
731,siwak,2019-05-02,22,
732,siwak,2019-05-03,2,
733,siwak,2019-05-03,6,6.8
734,siwak,2019-05-03,10,
735,siwak,2019-05-03,14,
736,siwak,2019-05-03,18,
737,siwak,2019-05-03,22,
738,siwak,2019-05-04,2,
739,siwak,2019-05-04,6,6.3
740,siwak,2019-05-04,10,
741,siwak,2019-05-04,14,
742,siwak,2019-05-04,18,
743,siwak,2019-05-04,22,
744,siwak,2019-05-05,2,
745,siwak,2019-05-05,6,5.2
746,siwak,2019-05-05,10,
747,siwak,2019-05-05,14,
748,siwak,2019-05-05,18,
749,siwak,2019-05-05,22,
750,siwak,2019-05-06,2,
751,siwak,2019-05-06,6,4.4
752,siwak,2019-05-06,10,
753,siwak,2019-05-06,14,
754,siwak,2019-05-06,18,
755,siwak,2019-05-06,22,
756,siwak,2019-05-07,2,
757,siwak,2019-05-07,6,3.6
758,siwak,2019-05-07,10,
759,siwak,2019-05-07,14,
760,siwak,2019-05-07,18,
761,siwak,2019-05-07,22,
762,siwak,2019-05-08,2,
763,siwak,2019-05-08,6,2.9
764,siwak,2019-05-08,10,
765,siwak,2019-05-08,14,
766,siwak,2019-05-08,18,
767,siwak,2019-05-08,22,
768,siwak,2019-05-09,2,
769,siwak,2019-05-09,6,2.8
770,siwak,2019-05-09,10,
771,siwak,2019-05-09,14,
772,siwak,2019-05-09,18,
773,siwak,2019-05-09,22,
774,siwak,2019-05-10,2,
775,siwak,2019-05-10,6,2.8
776,siwak,2019-05-10,10,
777,siwak,2019-05-10,14,
778,siwak,2019-05-10,18,
779,siwak,2019-05-10,22,
780,siwak,2019-05-11,2,
781,siwak,2019-05-11,6,2.7
782,siwak,2019-05-11,10,
783,siwak,2019-05-11,14,
784,siwak,2019-05-11,18,
785,siwak,2019-05-11,22,
786,siwak,2019-05-12,2,
787,siwak,2019-05-12,6,2.6
788,siwak,2019-05-12,10,
789,siwak,2019-05-12,14,
790,siwak,2019-05-12,18,
791,siwak,2019-05-12,22,
792,siwak,2019-05-13,2,
793,siwak,2019-05-13,6,2.6
794,siwak,2019-05-13,10,
795,siwak,2019-05-13,14,
796,siwak,2019-05-13,18,
797,siwak,2019-05-13,22,
798,siwak,2019-05-14,2,
799,siwak,2019-05-14,6,3.0
800,siwak,2019-05-14,10,
801,siwak,2019-05-14,14,
802,siwak,2019-05-14,18,
803,siwak,2019-05-14,22,
804,siwak,2019-05-15,2,
805,siwak,2019-05-15,6,3.6
806,siwak,2019-05-15,10,
807,siwak,2019-05-15,14,
808,siwak,2019-05-15,18,
809,siwak,2019-05-15,22,
810,siwak,2019-05-16,2,
811,siwak,2019-05-16,6,6.05
812,siwak,2019-05-16,10,
813,siwak,2019-05-16,14,
814,siwak,2019-05-16,18,
